country,Year,Digital Adoption Index,DAI Business Sub-index,DAI People Sub-index,DAI Government Sub-index
Afghanistan,2014,0.302608162,0.296788126,0.087706715,0.523329616
Afghanistan,2016,0.343214273,0.341886461,0.123343445,0.564412951
Albania,2014,0.543883801,0.554247677,0.387059569,0.690344095
Albania,2016,0.60790354,0.621124566,0.463778585,0.73880744
Algeria,2014,0.369553834,0.449672759,0.27903834,0.379950374
Algeria,2016,0.431103349,0.498178005,0.419688344,0.375443697
Andorra,2014,0.591500282,0.7798298,0.666981101,0.327690005
Andorra,2016,0.640383482,0.829272985,0.739460826,0.352416664
Angola,2014,0.316811383,0.380169928,0.1223794,0.447884828
Angola,2016,0.334767014,0.40860194,0.131607652,0.46409148
Antigua and Barbuda,2014,0.461331844,0.60213238,0.448312044,0.333551109
Antigua and Barbuda,2016,0.477325171,0.61202687,0.565117538,0.254831105
Argentina,2014,0.64206171,0.681988299,0.564173877,0.680022955
Argentina,2016,0.685676217,0.690285444,0.633733511,0.733009636
Armenia,2014,0.607581973,0.676507294,0.411885649,0.734352946
Armenia,2016,0.621723354,0.714228392,0.478798658,0.672142982
Australia,2014,0.685024679,0.760201275,0.724051654,0.570821106
Australia,2016,0.7121737,0.772023559,0.777299762,0.587197781
Austria,2014,0.814163625,0.837266266,0.815140486,0.790084064
Austria,2016,0.862426519,0.876887083,0.865305126,0.845087409
Azerbaijan,2014,0.550031543,0.474782526,0.506881356,0.668430746
Azerbaijan,2016,0.594166279,0.508698881,0.522672594,0.751127422
"Bahamas, The",2014,0.477003723,0.68289572,0.432477713,0.315637767
"Bahamas, The",2016,0.52744627,0.74154979,0.495497823,0.345291108
Bahrain,2014,0.758385956,0.697576523,0.77080363,0.806777775
Bahrain,2016,0.786018848,0.748000264,0.840248585,0.769807756
Bangladesh,2014,0.308281958,0.297191292,0.149208277,0.478446305
Bangladesh,2016,0.371819019,0.356706768,0.188057348,0.570692956
Barbados,2014,0.570615232,0.781745374,0.526980698,0.403119624
Barbados,2016,0.645413876,0.832587183,0.626681566,0.476972967
Belarus,2014,0.530079186,0.70157057,0.556057036,0.332609981
Belarus,2016,0.591658711,0.74282515,0.645314336,0.386836648
Belgium,2014,0.760932326,0.84492743,0.684371769,0.753497779
