Model,Scenario,Variable,Short Name,Unit,Region,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Oil Refineries,Oil Refineries,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451615.98,482735.32,515998.99,551554.75,589560.54,630185.18,673609.13,720025.27,769639.8,822673.1,879360.74,939954.54,1004723.65,1073955.79,1147958.48,1227060.45,1311613.07,1401991.93,1498598.49,1601861.89,1712240.82,1830225.59,1956340.3,2091145.15,2235238.95,2389261.77,2553897.78,2879884.57,3097632.15,3330311.33,3636895.71,3925248.29,4226159.8,4554619.09,4831828.29,5004497.27,5231951.94,5389219.21,5472256.03,5559665.34,5614657.41,5539253.36,5413121.08,5254431.35,5194616.04,5171669.54,5148812.53,5192054.78,5190159.91,5230561.85,5284131.64,5263756.59,5210429.83,5259310.93,5344494.51,5389911.82,5444670.53,5580490.78,5641183.89,5788395.19,5803304.22,5871462.16,5908704.01,5919838.03,6019775.33,6056144.04,6139703.81,6227195.46,,,,,,,,,,,,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Electricity|Coal Power,Coal Power,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,42.1,57.1,101.1,202.6,234.1,278.9,317.9,475.7,794.7,1045,1215.5,1522.4,1763.2,1910.6,2468.2,3027.1,3653.2,4386.3,4924.9,5935.6,6785.78,7080.78,7226.68,7363.38,7418.98,7780.68,7982.58,8173.58,9175.68,9514.53,10007.43,10976.53,12264.23,13113.83,13614.33,14133.63,14385.93,15100.23,16356.18,19502.63,22626.13,26756.08,32466.48,41365.48,51615.11,63835.81,71030.24,81117.94,94681.64,110810.84,126486.15,140282.75,155273.33,171216.58,185952.03,205427.49,221635.78,248089.23,271475.7,302215.61,336692.81,365986.81,393985.41,426266.61,450160.01,473763.61,496193.21,520036.48,546210.72,571542.89,601958.23,625844.95,653882.6,681212.76,715186.02,747888.81,775002.15,802128.11,820652.49,842243.09,861067.32,882245.97,902551.34,922753.89,943329.91,964192.21,989955.51,1013839.26,1036414.16,1061707.14,1090642.04,,,,,,,,,,,,,,,,,,,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Electricity|Hydro Power,Hydro Power,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.32,0.32,0.32,0.69,0.69,0.69,0.8,0.8,5.3,5.56,6.36,6.36,10.64,25.04,30.13,62.36,63.16,72.13,79.51,93.13,166.18,242.07,360.49,537.01,683.37,841.92,969.71,1201.39,1618.83,1910.89,2537.19,2882.07,3312.67,3677.47,4019.05,4271.58,4597.39,5158.32,5952.17,6597.83,7387.24,8435.61,10096.81,11048.38,12431.61,14158.7,15409.02,17410.17,19365.5,20703.73,21412.58,22268.96,23157.27,25170.66,26536.55,28276.55,30428.48,31925.45,35363,37727.44,42039.29,44046.66,45014.39,45494.58,47015.48,48603.63,52106.02,56356.05,61076.36,66357.74,72307.17,78440.59,89266.88,98373.04,105916.15,119438.9,131614.68,142200.54,153350.45,164592.2,177274.44,188192.2,200203.32,215873.03,230424.96,245314.75,261612.62,276724,292630.27,307219.53,328768.92,346210.27,360038.5,379820.58,397855.28,420471.31,438033.01,459313.79,476655.16,498170.18,513639.53,537751.16,555442.79,573315.58,592410.7,606765.85,618735.88,627144.52,636121.13,649192.59,659898.08,676028.74,689196.04,698950.86,709319.75,720968.3,735325.93,749203.41,763075.31,776527.79,796637.84,821409.94,845519.6,,,865618,865887,888022,915578,945606,990113,1026227,1058285,1085809,1108481,,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Electricity|Natural Gas,Natural Gas,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,16,16,19.1,19.1,19.1,28.7,37.5,37.5,42.5,42.5,42.5,62.5,111.5,171.5,248.5,276,331,372.3,551.8,633.3,785.3,979.3,1273.3,1548.68,2001.08,2139.08,2183.08,2187.08,2193.08,2204.08,2629.38,2773.78,3151.33,3283.32,3935.92,4573.92,4823.18,5299.98,5316.96,5519.97,5609.82,6039.11,7875.68,10342.24,12340.82,15539.11,17357.69,21214.57,25435.87,28331.72,32341.72,35603.89,40739.02,45681.19,50607.09,55368.59,59160.51,63395.8,68942.8,75314.8,83527.4,94517.51,103079.49,114405.3,126957.45,140389.91,158589.56,173847.79,190884.97,206408.39,220437.57,232929.33,241706.89,254310.63,263119.97,271713.8,278860.34,291266.66,299888.53,307435.76,314576.87,322355.5,330808.97,341515.51,350022.98,359444.17,373114.57,393295.49,414634.52,436831.46,459089.98,478159.66,495682.88,521080.21,565132.51,,,,,,,,,,,,,,,,,,,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Jet Aircrafts,Jet Aircrafts,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677.26,8995.43,24497.33,34869.03,42510.98,47330.38,57215.16,70987.79,90056.38,116834.96,154695.4,183158.53,218479.45,245601.7,266982.68,292034.66,316673.71,339322.74,358700.03,374217.65,397367.64,436608.47,479745.98,516018.67,541210.8,569486.49,592450.64,620722.12,653384.06,685421.22,723408.93,765945.02,821665.53,889161.12,956593.19,1013843.57,1058421.71,1098968.34,1142477.02,1201053.69,1277376.64,1360337.55,1426882.82,1497572.34,1555522.82,1605518.41,1655051.24,1707584,1773145.5,1844393.74,,,,,,,,,,,,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Passenger Cars,Passenger Cars,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,5.47,16.45,49.55,102.48,197.68,338.86,592.11,1170.31,2156.23,3455.39,6064.39,9844.48,14642.06,23687.94,40342.02,61695.77,76377.99,101850.22,134651.56,160439.41,204328.58,278740.21,350528.86,441445.07,539438.93,622929.28,735650.21,880711.37,978101.31,1051366.12,1096206.26,1162272.33,1261437.65,1410074.19,1584700.05,1782368.18,1896511.72,2056735.06,2253667.28,2474616.91,2528040.85,2566235.64,2607224.4,2649879.87,2826904.14,3107018.8,3424811.31,3820441.77,4348222.82,4817626.67,5225756.86,5772407.33,6289803.44,7027585.99,7624042.66,8270858.5,8795399.12,9481270.62,10309809.94,11051620.74,11977533.22,13044966.22,14178428.02,15517708.91,16840388.87,18063510.56,19526827.93,21031297.05,22427576.26,24045825.34,25771711.02,27716464.22,29347048.25,30858241.52,32665053.03,34641918.93,36589687.9,38523771.79,40200729.07,41788042.18,43322150.54,45118518.12,46990754.81,49020305.01,51070186.67,53166325.38,55401596.14,57732085.64,60091938.01,62390529.14,64816912.06,67231830.11,69891886.93,72602871.42,75425650.55,78401456.38,81392764.96,84663417.11,88080152.58,91332971.72,94774542.68,98363546.46,102158676.3,106121446.1,,,,,,,,,,,,,,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Compact Flourescent Lightbulbs,Compact Flourescent Lightbulbs,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362.36,3219.6,5558.96,8512.63,11857.08,15711.34,20240.99,25868.14,31992.06,39307.66,50216.76,64796.58,80129.04,99491.5,,,,,,,,,,,,,,,,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Bicycles,Bicycles,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.04,0.07,0.11,0.45,1.1,2.13,3.69,7.24,12.76,20.26,29.74,41.2,54.65,70.08,87.5,108.55,136.26,168.02,203.91,243.91,287.99,336.16,388.76,445.48,506.69,581.54,670.01,776.59,920.27,1101.05,1279.3,1455.02,1628.23,1885.19,2188.27,2451.96,2706.1,2952.75,3156.18,3316.42,3483.85,3666.08,3845.36,4020.7,4233.02,4433.07,4642.25,4860.32,5093.45,5325.85,5579.93,5819.02,6073.44,6343.33,6628.82,6930.09,7247.32,7564.81,7882.77,8230.56,8597.45,8970.71,9334.42,9708.2,10074.46,10438.14,10830.77,11225.93,11677.22,12145.45,12631.3,13165.67,13780.85,14507.02,15285.58,16111.12,16964.76,17824.86,18655.4,19373.65,20039.01,20779.88,21596.44,22521.82,23608.61,24784.95,26059.97,27279.75,28530.32,29855.67,31155.67,32555.67,34055.67,35655.67,37355.67,39155.67,41055.67,43055.67,45055.67,47176.37,49097.77,51170.77,53328.77,55560.77,57893.17,60459.07,63078.47,66686.57,70562.47,75208.97,80147.47,85067.27,89219.67,93727.87,98649.17,103712.87,109235.47,115152.17,121421.27,128214.67,135388.11,142736.05,150455.8,158719.26,167413.1,176962.41,184755.52,192119.97,200707.39,209693.64,218788.23,228125.63,237278.7,244976.6,252989.56,259840.57,267101.28,275049.23,282779.47,291605.44,301948.15,313959.96,324039.08,335286,345545.85,,,,,,,,,,,,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Electric Bicycles,Electric Bicycles,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05,28.05,87.79,206.06,442.88,1086.49,2701.08,4921.13,9522.69,15819.57,22681.55,30754.46,40316.83,50407.98,,,,,,,,,,,,
Technology Indicators,Release 2023.1,Cumulative Total Capacity|Steamships,Steamships,MW,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.82,,,,,,,,,,58.07,,,,,,,,,,171.99,,,,,,,,,,394.22,,,,,,,,,,1116.37,,,,,,,,,,1775.28,,,,,,,,,,3335.49,,,,,,,,,,6537.01,,,,,,,,,,11279.62,,,,,,,,,,19525.07,,,,,,,,,,34419.89,,,,,,,,,,52280.02,,,,,,,,,,70582.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
